Rank,RegionID,Haufe_Z,Weight_Z,Haufe_Raw
1,338,-8.454146,-2.197982,-5.294228
2,95,-8.182768,-1.789081,-3.232885
3,216,-7.801413,-1.402799,-4.310859
4,13,-7.197721,-3.937365,-4.39467
5,221,-7.195277,-1.379337,-3.388265
6,11,-7.048423,-5.462249,-3.147084
7,35,-6.838967,-2.327494,-2.984655
8,86,-6.662376,-0.7048694,-3.30128
9,222,-6.551339,-0.00812743,-4.051028
10,337,-6.301132,-1.949032,-2.806195
11,36,-6.287469,-3.6635,-3.152485
12,37,-6.253395,-1.115884,-3.041448
13,301,6.211386,-1.030084,2.648314
14,291,-6.155792,-1.275666,-2.169398
15,151,5.991183,2.682465,2.475851
16,218,-5.892449,-1.702913,-3.180806
17,325,-5.788149,-0.1563231,-2.794638
18,120,-5.724214,-0.9111679,-4.127724
19,137,5.70452,0.09161291,2.521399
20,195,5.659986,0.634666,2.458592
21,299,5.540481,0.6676767,1.763138
22,131,5.535588,-0.5175015,2.287091
23,31,-5.430508,-1.434596,-3.301261
24,1,-5.406921,-2.690592,-2.689289
25,22,-5.354163,-1.912247,-2.595946
26,43,-5.276035,-2.018802,-3.834313
27,9,-5.203298,-2.278491,-2.305794
28,139,5.176959,2.37301,3.313831
29,191,-5.098271,-0.689282,-1.955115
30,166,-5.014977,-0.5823718,-2.484251
31,44,-5.00525,-2.233038,-2.674532
32,290,-5.003757,1.190001,-2.290918
33,148,-4.910975,-0.5542701,-2.035156
34,156,-4.906293,-1.652632,-3.316187
35,99,-4.837792,0.5483435,-2.596289
36,19,-4.764968,-0.5546312,-1.67816
37,119,-4.74844,0.2066312,-2.23182
38,153,4.730719,0.2715235,1.325858
39,7,-4.722288,-0.7939562,-2.097459
40,326,-4.699121,-1.855575,-2.391991
41,233,-4.680425,-0.8065025,-2.27437
42,100,-4.647461,-0.8398352,-2.12886
43,118,-4.639661,-0.9268765,-4.17223
44,234,-4.627387,0.8204909,-2.243723
45,61,4.60739,1.740229,3.111
46,149,4.599772,2.613512,1.891944
47,135,4.589658,0.6045353,2.525679
48,33,-4.576326,-1.601578,-3.25475
49,189,-4.564174,-0.364055,-3.466569
50,117,-4.535667,-0.8887548,-2.820048
