Rank,RegionID,Haufe_Z,Weight_Z,Haufe_Raw
1,300,9.804049,2.17812,1.312246
2,313,9.772493,4.10545,2.204707
3,274,8.904309,2.354051,2.312037
4,266,8.762532,1.909274,1.839303
5,272,8.518542,4.769966,1.227989
6,273,8.486748,0.1947793,1.967071
7,1,-8.170482,-7.77255,-3.083833
8,256,7.55688,2.511602,2.134934
9,2,-7.206981,-7.505979,-3.688202
10,7,-7.131228,-5.224499,-2.538153
11,302,7.075542,3.081383,1.958431
12,289,7.011842,-0.2676865,1.818446
13,301,6.909059,2.593368,1.697951
14,276,6.677503,3.720019,1.371624
15,146,6.438397,1.24674,1.40165
16,26,-6.41216,-3.05706,-3.007089
17,298,6.404628,2.097564,1.341378
18,258,6.379174,1.716787,1.478396
19,275,6.351761,3.429795,1.808235
20,223,-6.283741,-2.602906,-2.097251
21,6,-6.019223,-2.164687,-1.906651
22,25,-5.973774,-1.176891,-2.603221
23,280,5.782115,1.392395,1.406492
24,257,5.694103,2.629576,1.509054
25,278,5.540056,2.05424,1.627644
26,259,5.514485,2.827832,1.430598
27,37,-5.394053,-3.616651,-2.462341
28,352,5.38714,-0.2476792,1.290233
29,8,-5.146026,-2.642015,-2.148278
30,233,5.094815,0.05775465,1.525035
31,164,5.072374,1.845033,1.493165
32,166,4.980646,-0.04649627,1.508539
33,9,-4.952566,-3.434706,-1.662141
34,260,4.870828,2.786317,1.697603
35,187,-4.86696,0.1985369,-1.928307
36,296,4.819396,1.534057,1.250228
37,287,4.785426,-1.235795,1.401562
38,134,4.750192,1.61832,1.547637
39,60,4.740347,1.883434,1.789851
40,324,4.738162,3.21699,2.346194
41,337,-4.58484,-1.806088,-1.379928
42,421,-4.551759,-1.888983,-1.76377
43,56,4.480318,-1.519217,1.113581
44,411,-4.418602,-0.8199719,-1.58258
45,59,4.415193,3.047915,1.47902
46,32,-4.358348,1.57809,-1.444177
47,137,-4.347539,-2.013038,-1.797778
48,194,4.332406,0.5288771,1.318626
49,279,4.310945,1.056925,1.057881
50,35,4.187644,4.395988,1.47071
