Rank,RegionID,Haufe_Z,Weight_Z,Haufe_Raw
1,481,-22.83253,-4.506213,-12.68439
2,312,20.07418,4.189499,10.82571
3,479,-20.008,-3.782104,-25.41908
4,474,-18.38358,-2.478843,-33.93666
5,430,18.10162,5.715903,11.63877
6,435,17.9242,2.951921,37.80215
7,356,-17.51917,-4.53001,-14.27875
8,305,16.80512,7.786859,13.09453
9,449,-16.64111,-3.084923,-11.82836
10,4,16.59046,6.677808,8.375357
11,127,-16.49356,-3.732802,-14.58172
12,208,-16.433,-1.676187,-7.22652
13,42,15.96047,3.226186,8.740103
14,192,-15.88629,-5.590757,-8.092509
15,197,-15.69261,-5.327766,-9.792762
16,221,15.58478,5.72211,11.27096
17,295,-14.7223,0.7497964,-4.353637
18,212,-14.4348,-3.782706,-6.778352
19,168,-14.25029,-2.262115,-7.253137
20,110,-14.22941,-6.141033,-3.618648
21,488,-14.19495,-3.454351,-6.35456
22,227,-13.68838,-0.7745552,-15.68043
23,46,13.53202,4.740144,6.174853
24,93,-13.40939,-5.444973,-5.875308
25,181,-13.36507,-4.463634,-15.16342
26,10,13.17477,1.399384,10.06766
27,372,13.08665,3.390432,16.24302
28,12,12.90117,0.2417634,9.829942
29,262,-12.76632,-5.328753,-4.143544
30,219,-12.74866,-5.233964,-7.556597
31,360,-12.72852,-3.007984,-12.71549
32,172,-12.71548,-3.123669,-4.666131
33,429,-12.44208,-2.6071,-14.65869
34,95,-12.40816,-1.757904,-5.653405
35,26,12.3478,3.911461,8.062752
36,109,-12.34207,-4.270029,-3.427867
37,84,-12.27456,0.787712,-2.427454
38,183,-12.23559,-7.050756,-7.957866
39,293,-12.20596,0.03726944,-3.240518
40,78,-12.15251,-6.585631,-4.496308
41,357,12.08828,3.503717,5.731204
42,249,12.08169,1.868854,4.653793
43,308,12.06444,2.533851,11.80652
44,384,11.98662,1.293325,12.83109
45,316,11.98475,-0.7304193,5.706809
46,107,-11.95709,-1.805692,-4.70663
47,350,11.94176,7.120481,6.555614
48,441,-11.83827,-4.300424,-10.81471
49,319,11.75585,8.052573,10.30606
50,63,11.73087,6.536456,8.657916
