Rank,RegionID,Haufe_Z,Weight_Z,Haufe_Raw
1,30,11.39013,3.159157,5.177379
2,29,11.30855,2.648372,5.07402
3,358,11.02596,4.174481,7.608646
4,263,-10.93287,-2.145438,-2.404857
5,299,-10.63661,-5.774882,-3.303963
6,170,10.22941,3.623553,5.913468
7,357,9.583012,3.18908,5.124637
8,222,9.266918,1.641657,6.358413
9,262,-8.848913,-6.40696,-2.686259
10,126,8.826766,3.540377,6.521517
11,255,-8.806552,-4.136848,-3.995434
12,360,8.657804,3.191222,5.754779
13,256,-8.583751,-0.3904974,-3.14399
14,139,-8.568845,-3.026187,-4.413655
15,224,8.550338,2.893405,3.059156
16,28,8.434245,1.797013,5.426993
17,189,8.388065,2.411575,4.172793
18,169,8.329172,4.898078,4.913075
19,168,8.261447,2.374485,4.632074
20,218,8.185762,-0.3903708,3.079972
21,338,8.165863,3.075961,6.333926
22,154,8.147833,2.263232,2.407589
23,120,8.143057,2.526662,4.827267
24,287,8.114913,3.603817,2.833956
25,257,-8.000356,-3.95967,-3.478293
26,261,-7.987264,-4.98801,-3.065766
27,221,7.973444,3.407976,4.869558
28,166,7.954317,1.69122,4.389641
29,250,-7.853299,-1.810761,-2.125427
30,124,7.835277,2.343924,8.021205
31,288,7.79125,0.7436281,2.353191
32,233,7.69429,0.1099672,2.545109
33,284,7.590487,3.355159,4.320668
34,216,7.585481,1.921189,4.599152
35,64,7.506664,1.867121,3.803748
36,290,7.47716,1.943532,2.414208
37,301,-7.338367,-5.591623,-1.539137
38,389,7.302322,1.614616,1.60091
39,86,7.206098,1.956486,3.197643
40,125,7.180719,2.148544,2.739018
41,264,-7.158845,-2.619179,-2.98483
42,117,7.140592,1.226492,4.731047
43,337,7.10365,-0.8073319,3.273689
44,172,7.102315,0.2746988,3.43892
45,249,-7.030065,-2.143034,-2.61044
46,217,7.021759,2.584492,3.232681
47,234,6.993535,0.3492134,2.029602
48,245,-6.960087,-3.500572,-2.884117
49,391,6.902953,0.8702049,2.472731
50,366,6.823411,1.736994,3.115892
