Rank,RegionID,Haufe_Z,Weight_Z,Haufe_Raw
1,78,-18.20693,-6.175026,-3.613446
2,94,-17.86155,-2.239179,-2.658423
3,110,-17.45588,-6.043367,-3.296592
4,86,-17.27582,-2.143274,-4.836647
5,77,-16.97767,-4.917819,-2.876693
6,104,-15.3247,-3.166428,-2.203314
7,80,-14.48533,-4.460248,-3.798948
8,44,-14.39881,-4.102992,-3.039241
9,109,-13.98825,-1.800145,-2.280536
10,296,-13.78498,0.3261521,-2.523312
11,232,-13.56248,-0.6907326,-2.656964
12,210,-12.70179,-2.311469,-3.212116
13,231,-12.68062,-2.307426,-1.893435
14,82,-12.64298,-3.459894,-4.256965
15,102,-12.58804,-3.303203,-2.169255
16,399,-12.55116,1.659328,-1.654426
17,72,-12.54859,-2.216941,-3.214777
18,276,-12.53748,-4.697844,-2.84832
19,156,-12.5367,-2.411763,-2.978617
20,108,-12.51615,-7.460564,-3.656758
21,84,-12.42395,-0.3498911,-1.976536
22,83,-12.35947,-0.7709202,-2.490141
23,41,-12.30762,-5.96904,-3.845241
24,364,-11.86606,-1.387094,-3.459051
25,234,-11.75537,0.5941797,-2.200338
26,120,-11.49177,0.08552237,-3.660858
27,233,-11.47092,-1.746293,-2.201393
28,90,-11.44475,-1.176394,-3.266812
29,103,-11.42721,0.06724925,-1.702646
30,155,-11.26459,-1.296716,-2.537925
31,98,-11.18499,2.229628,-1.743795
32,18,-10.94266,-4.384866,-2.350147
33,294,-10.94119,2.093851,-2.167002
34,13,-10.83223,-3.985467,-1.997868
35,42,-10.78227,-5.096889,-2.676303
36,22,-10.75082,-1.870498,-2.124115
37,226,-10.7378,-1.921964,-3.406018
38,20,-10.73387,-1.354847,-1.965143
39,89,-10.70128,-1.12891,-2.098586
40,45,-10.68555,-4.00337,-3.062442
41,363,-10.63362,-1.842458,-3.008238
42,401,-10.62908,-0.08943674,-1.73718
43,93,-10.58144,-3.246846,-2.798816
44,43,-10.37562,-3.377879,-4.805604
45,88,-10.21323,-0.06624436,-1.871723
46,112,-10.16016,-0.5988317,-2.504188
47,216,-10.02933,-1.64214,-2.780518
48,97,-9.778754,2.901099,-1.876132
49,95,-9.762797,-1.165587,-2.333197
50,280,-9.695668,-1.455356,-2.209128
