Contrast,PeakTA,PeakTA_t,PeakTAFC,PeakTAFC_t
cue_vs_lf,0.925462860188057,4.32,0.972322227203302,4.32
cue_vs_rf,0.842583016542268,4.32,0.898026848533574,4.32
cue_vs_lh,0.860241935035033,8.64,0.920530036557858,8.64
cue_vs_rh,0.859195642239814,9.36,0.920732131916957,8.64
cue_vs_tongue,0.834546466412549,8.64,0.904676484671068,8.64
lf_vs_rf,0.775238500338254,5.04,0.824335074101623,5.04
lf_vs_lh,0.78326883494248,5.04,0.836131430605983,5.04
lf_vs_rh,0.90925881908204,4.32,0.940627289735987,4.32
lf_vs_tongue,0.847359829057827,2.16,0.906637136772402,2.88
rf_vs_lh,0.806062843416804,9.36,0.851569467653709,9.36
rf_vs_rh,0.849672732262773,1.44,0.893330293930383,1.44
rf_vs_tongue,0.863741407395221,2.16,0.905853547122931,2.16
lh_vs_rh,0.834673595871812,10.08,0.87845224897205,2.88
lh_vs_tongue,0.860996546945838,2.16,0.895009696529803,1.44
rh_vs_tongue,0.864797194709919,1.44,0.93745353755408,1.44
