Rank,RegionID,Haufe_Z,Weight_Z,Haufe_Raw
1,250,-14.19385,-3.702564,-3.036036
2,16,-12.66625,-4.23003,-1.646297
3,256,-10.84899,-4.789954,-4.546904
4,277,-10.41948,-4.400053,-3.47506
5,56,-10.36116,-3.374347,-2.003867
6,130,-10.16599,-2.71869,-5.856844
7,80,-10.01136,-1.971679,-2.486463
8,55,-9.633894,-2.985726,-2.751033
9,276,9.522968,4.901965,1.885236
10,246,-9.418661,-2.446267,-2.972435
11,18,-9.110587,-0.9053347,-1.978342
12,102,-8.945642,-4.802916,-1.425566
13,360,-8.840886,-2.661431,-5.22058
14,258,-8.687266,0.9718651,-2.381992
15,29,-8.503224,-3.243119,-3.513285
16,278,-8.489919,-0.6515203,-1.814453
17,70,-8.328188,0.04264247,-4.165992
18,316,8.313099,7.792861,3.264357
19,315,8.20541,2.405363,2.595736
20,371,-8.163643,-2.654434,-3.274395
21,75,-7.931697,-1.966631,-2.043173
22,342,7.779296,3.124848,2.202856
23,257,-7.765215,-6.157796,-3.968016
24,273,-7.743536,-3.953169,-1.410233
25,72,-7.681061,-1.527094,-1.532457
26,322,-7.588371,-0.2850953,-4.282968
27,368,-7.559992,-2.239612,-4.125535
28,69,-7.488101,-0.1086569,-3.823678
29,40,7.41723,2.318903,2.757518
30,67,-7.355462,-3.509593,-4.206704
31,30,-7.355176,-4.299975,-3.264476
32,2,7.327674,5.834899,3.334415
33,280,-7.259957,-3.839352,-1.062609
34,323,-7.086426,-1.427132,-3.612123
35,352,-7.02564,-1.871835,-2.662003
36,128,-7.020644,-1.553864,-4.686468
37,156,6.915859,3.465975,2.48981
38,367,-6.836396,-2.30984,-3.055548
39,68,-6.825836,-1.320416,-5.594792
40,31,6.684264,0.8834159,3.238826
41,308,6.680554,2.28211,3.642448
42,324,-6.658663,-2.72491,-4.250886
43,28,-6.564435,-0.3529314,-4.296865
44,154,6.524902,1.937697,1.892483
45,64,-6.456297,-1.43553,-4.271221
46,286,6.40882,0.5174493,1.754144
47,220,-6.37548,0.5309641,-2.236447
48,98,6.302923,-0.2416275,1.549076
49,232,6.233054,2.026963,1.383399
50,126,6.226285,1.75815,2.787791
