Rank,RegionID,Haufe_Z,Weight_Z,Haufe_Raw
1,11,16.37118,8.02501,0.1031979
2,7,14.48638,5.812981,0.08417507
3,9,14.24755,7.640071,0.08719592
4,1,14.21423,7.286615,0.1078445
5,325,13.84775,2.855478,0.08784533
6,13,13.28558,3.734392,0.1308187
7,12,12.66486,1.5101,0.08529206
8,2,12.54117,6.06879,0.1038843
9,14,12.26005,2.156415,0.1066994
10,36,11.56485,3.155155,0.08365539
11,315,11.41831,1.88669,0.0729425
12,307,11.07452,2.584948,0.07540135
13,8,11.04326,3.225599,0.0702545
14,319,10.86597,2.441997,0.08961716
15,42,10.83097,1.779127,0.07914724
16,31,10.65299,0.1365975,0.09514915
17,37,10.56773,1.004495,0.07531112
18,10,10.54138,1.143933,0.07006457
19,86,10.47534,2.974212,0.08206665
20,39,10.47521,2.492923,0.06283065
21,21,10.44843,1.242926,0.06610486
22,284,10.41417,1.561037,0.07970261
23,326,10.34252,-0.5161235,0.07982148
24,44,10.23098,3.693143,0.09849886
25,291,9.829911,-0.2781328,0.04876472
26,40,9.798609,0.2040963,0.06715281
27,312,9.604149,2.02357,0.05802467
28,20,9.596348,1.613393,0.05191598
29,311,9.496372,0.5495572,0.0509652
30,292,9.185278,-3.191768,0.06432664
31,19,9.13125,0.1736388,0.04556598
32,316,9.120107,-1.403698,0.05056727
33,233,9.092538,1.649772,0.04960551
34,35,9.036697,-1.22491,0.06077814
35,99,8.919196,2.441751,0.06625786
36,22,8.914873,0.1038671,0.06085215
37,88,8.864489,2.194512,0.04443854
38,242,8.836867,1.519658,0.0898931
39,95,8.835186,0.7982833,0.06364758
40,25,8.804306,-0.9035773,0.06258165
41,276,8.761987,1.142245,0.04800461
42,41,8.70367,-1.02791,0.05351655
43,120,8.649736,1.584988,0.08558958
44,6,8.524837,1.45391,0.06488847
45,85,8.490061,0.4081745,0.04844815
46,305,8.449117,2.024443,0.07567832
47,87,8.362436,1.251737,0.04803751
48,241,8.341369,1.298227,0.06449674
49,97,8.257937,1.274915,0.04531815
50,159,8.23312,1.68419,0.06865562
