Rank,RegionID,Haufe_Z,Weight_Z,Haufe_Raw
1,285,-12.56214,-3.878024,-0.03461372
2,61,-12.09274,-2.082699,-0.05675931
3,382,-11.35498,-6.093468,-0.03537536
4,325,-10.70351,-3.691316,-0.04613255
5,11,-10.5766,-3.327163,-0.03132626
6,31,-10.57497,-3.904636,-0.0611719
7,25,-10.08475,-2.235307,-0.03672627
8,138,-9.985668,-3.069263,-0.06057429
9,83,-9.728182,-3.220823,-0.02813517
10,13,-9.674405,-2.816367,-0.04629885
11,102,-9.603443,-2.341827,-0.02391217
12,36,-9.586976,-4.706161,-0.03877742
13,326,-9.583829,-3.078923,-0.05134628
14,315,-9.388945,-2.418895,-0.03413984
15,286,-9.32845,-2.217821,-0.03238797
16,254,-9.09796,-2.729848,-0.05012047
17,256,-9.094973,-2.14106,-0.03753535
18,26,-9.072184,-2.047391,-0.03347358
19,143,-9.006266,-2.910012,-0.04057702
20,18,-8.999023,-1.105621,-0.02671365
21,310,-8.991795,-1.446661,-0.05696023
22,488,-8.984646,-2.658584,-0.0238347
23,251,-8.95664,-1.135789,-0.04880032
24,141,-8.949703,-1.84503,-0.04369278
25,144,-8.753221,-1.688432,-0.04261456
26,110,-8.753118,-3.68199,-0.0228664
27,78,-8.744173,-1.793774,-0.02304007
28,255,-8.696162,-0.3416683,-0.03116907
29,103,-8.645314,-4.055681,-0.02416087
30,305,-8.538651,-2.236963,-0.04874306
31,318,-8.468976,-0.3166584,-0.02405227
32,309,-8.34959,-0.7883819,-0.05490474
33,101,-8.325972,-1.283937,-0.02089407
34,9,-8.204605,-0.2305157,-0.02391023
35,137,-8.036869,-0.5819765,-0.0399128
36,386,-8.025785,-0.08373576,-0.02711822
37,62,-7.930365,-1.401761,-0.0376327
38,37,-7.889608,-1.507567,-0.03845472
39,487,-7.782173,-3.019963,-0.03398982
40,72,-7.751391,-1.48459,-0.02872229
41,35,-7.724572,-1.454286,-0.03845026
42,270,-7.670979,-0.004992789,-0.02004805
43,388,-7.627812,-1.514627,-0.02038731
44,319,-7.614725,-0.7755144,-0.03840889
45,16,-7.555675,-1.551025,-0.01917056
46,131,-7.551632,-2.883512,-0.03786911
47,5,-7.426444,-1.535815,-0.02965095
48,252,-7.362809,-0.06864026,-0.04796622
49,291,-7.353551,-1.885317,-0.02438657
50,87,-7.343121,-3.423734,-0.02481588
