Rank,RegionID,Haufe_Z,Weight_Z,Haufe_Raw
1,382,10.47043,5.586703,0.06353447
2,140,6.054027,3.075363,0.06209719
3,367,5.254186,3.527345,0.03284647
4,52,5.045988,0.4381896,0.05457443
5,88,4.985008,2.038294,0.02822982
6,87,4.888141,3.675001,0.03891788
7,93,4.791595,2.954238,0.03592573
8,94,4.343004,1.732094,0.02526892
9,412,4.142203,1.697501,0.06389528
10,339,4.12641,2.103756,0.04293936
11,394,3.985255,1.080072,0.1061235
12,126,3.803907,2.682503,0.04395809
13,387,3.767886,2.038975,0.02458504
14,83,3.762336,0.7637751,0.02632834
15,361,3.566913,0.3464347,0.02913023
16,138,3.441324,0.0359474,0.04305726
17,214,3.440394,2.596566,0.02427753
18,246,3.421392,1.823025,0.02868243
19,223,3.408585,1.27262,0.03297403
20,174,3.294358,0.4869725,0.03227069
21,72,3.291162,0.504985,0.02598493
22,194,3.265116,-0.3845434,0.02609831
23,144,3.242421,1.686897,0.03743084
24,110,3.22734,1.137414,0.02501283
25,488,3.20659,0.5167472,0.01459743
26,391,3.078804,1.217105,0.02197989
27,84,3.069751,-0.3784854,0.01756081
28,196,3.049215,0.8621112,0.02470193
29,102,3.041392,3.440746,0.02407109
30,436,2.988118,0.9923314,0.03014256
31,98,2.939051,0.6484531,0.02460899
32,180,2.865609,0.8049732,0.01911695
33,134,2.825521,-0.4372745,0.02252022
34,78,2.76596,1.354076,0.01942005
35,109,2.761292,-0.9282845,0.02123456
36,366,-2.753109,-3.725375,-0.0188366
37,108,2.666186,1.253056,0.02179831
38,168,2.620896,0.7491204,0.02248174
39,107,2.613604,1.862844,0.01732589
40,295,2.601433,1.140424,0.01404861
41,176,2.597429,1.666775,0.03231721
42,90,2.571863,1.524709,0.02530045
43,166,2.559974,1.618612,0.02336819
44,262,2.554341,2.07555,0.0154265
45,143,2.545233,0.9117295,0.02408926
46,20,2.527142,1.452752,0.01676382
47,386,2.518717,-0.4977715,0.02026636
48,481,2.505743,1.534293,0.01726993
49,101,2.479241,-0.6283355,0.01875025
50,464,2.478832,2.08869,0.05616613
