Rank,RegionID,Haufe_Z,Weight_Z,Haufe_Raw
1,382,13.19352,8.895867,0.0379174
2,11,9.41703,6.117715,0.02920981
3,12,8.822532,4.78502,0.02859958
4,315,7.759,2.726799,0.02829812
5,31,6.798066,3.774163,0.03213621
6,319,6.686938,4.312392,0.04002898
7,367,6.642867,3.736151,0.02928658
8,25,6.618393,1.277652,0.01993584
9,361,6.436997,3.329879,0.0303233
10,51,6.267167,2.141851,0.02291024
11,10,6.209634,3.580209,0.01893444
12,139,6.199085,1.750029,0.02571176
13,9,5.829459,-0.2816847,0.01680495
14,37,5.678906,0.1061782,0.02571526
15,52,5.656097,1.052764,0.02072265
16,141,5.641175,1.38561,0.01993578
17,316,5.603791,2.589046,0.02082874
18,40,5.506445,2.291453,0.0231932
19,144,5.368524,1.351163,0.0233514
20,102,5.308549,3.601912,0.01250936
21,138,5.26108,0.2471423,0.02265183
22,18,5.17014,2.127065,0.0136861
23,214,5.14972,2.159837,0.0187957
24,101,5.041013,2.647979,0.009951132
25,140,5.037494,2.356967,0.02265665
26,14,4.976484,2.211771,0.02708984
27,412,4.957164,2.318328,0.04577354
28,42,4.92868,4.017946,0.01820807
29,339,4.775456,2.28796,0.01870131
30,176,4.759668,1.063995,0.01625805
31,383,4.652438,0.9583705,0.02999511
32,41,4.597702,1.427277,0.01752821
33,195,4.593565,0.1120881,0.01996127
34,126,4.578943,3.384294,0.0221637
35,15,4.517894,0.442127,0.01132103
36,320,4.502933,2.930097,0.02408613
37,143,4.48683,0.4383054,0.01590194
38,39,4.461945,0.04207201,0.01694984
39,93,4.390728,1.307517,0.01270809
40,1,4.375505,0.665556,0.01373342
41,19,4.366855,1.987151,0.0125237
42,305,4.300769,2.264789,0.01999131
43,13,4.281713,1.157858,0.01961664
44,131,4.26301,1.086108,0.01748899
45,87,4.214937,1.707867,0.01267765
46,44,4.106913,-0.7443935,0.01820901
47,325,4.102829,2.479795,0.01857577
48,173,4.049731,-0.5426536,0.01762892
49,56,-4.019069,-3.038063,-0.01102367
50,16,3.970918,0.2113865,0.009410913
