Rank,RegionID,Haufe_Z,Weight_Z,Haufe_Raw
1,6,-12.07794,-2.645578,-7.149124
2,44,11.96012,6.42171,7.053693
3,5,-10.91839,-2.51067,-6.311306
4,284,-10.40351,-1.544405,-8.737075
5,25,-10.1929,-5.582916,-6.277558
6,241,-10.15539,-1.539302,-5.670956
7,42,10.10837,5.000337,4.33454
8,1,-9.431907,-5.393543,-5.463323
9,29,-9.357553,-3.788842,-6.71127
10,85,-8.822452,0.0720571,-2.861729
11,7,-8.463492,-3.476569,-4.320036
12,292,-8.269402,-3.213618,-3.914008
13,283,-8.225908,-0.4243496,-3.62649
14,242,-8.197978,-2.571885,-6.189611
15,26,-8.111632,-3.376719,-5.384243
16,21,-8.056499,-1.593546,-4.600441
17,61,-7.940733,-0.4800415,-5.155583
18,32,-7.902169,-1.194647,-3.382301
19,62,-7.673557,-0.9472631,-5.731199
20,43,7.622228,3.670534,4.946947
21,338,-7.342216,0.4231175,-3.785726
22,22,-7.319891,-2.65755,-3.929353
23,34,-7.088854,-1.338109,-2.451128
24,20,-7.028755,-2.542592,-3.693548
25,37,-6.947717,-1.418189,-3.413213
26,2,-6.86474,-3.976115,-5.412319
27,306,-6.779287,-1.995176,-6.263238
28,192,-6.707707,-0.1761939,-3.067204
29,256,-6.619398,-1.327431,-3.636912
30,27,-6.617732,-0.7222854,-4.820062
31,36,6.603858,7.110557,3.943789
32,30,-6.545603,-1.95772,-6.454472
33,234,-6.539071,-1.76561,-2.641062
34,305,-6.494167,-1.509722,-5.250484
35,312,6.437903,3.600396,3.261193
36,315,-6.435185,-4.942828,-3.077528
37,19,-6.260426,-0.8457733,-2.533819
38,319,-6.250267,-3.079256,-5.375518
39,257,-6.215195,-1.579888,-2.769921
40,100,-6.206614,-2.37805,-3.341265
41,12,6.040722,5.421457,2.13081
42,191,-6.028614,-1.732744,-3.602371
43,88,-6.025479,-1.985657,-3.391323
44,31,-5.982636,-2.587783,-5.123843
45,24,-5.884694,-2.653027,-2.95321
46,16,-5.808653,-2.000079,-1.986822
47,287,-5.711751,-1.851782,-2.752231
48,80,-5.707964,-1.249338,-2.519823
49,395,5.701098,3.742981,2.049982
50,3,-5.676107,-2.00254,-2.980903
